data_files,lat,long,dis,name,lat_soil,lon_soil
146.725_-33.725.met,-33.725,146.725,0.00196272,Soil_581.txt,-33.47452,147.0193
146.225_-33.225.met,-33.225,146.225,0.02446486,Soil_582.txt,-33.00001,146.6294
147.225_-34.225.met,-34.225,147.225,0.010281962,Soil_584.txt,-34.02904,147.3892
148.725_-33.725.met,-33.725,148.725,0.069820246,Soil_587.txt,-33.46913,148.71083
148.225_-33.225.met,-33.225,148.225,0.036268073,Soil_588.txt,-33.09831,148.62013
147.225_-34.725.met,-34.725,147.225,0.007527747,Soil_591.txt,-34.4085333,147.5307667
147.225_-31.725.met,-31.725,147.225,0.145555821,Soil_592.txt,-31.74203,147.20251
148.225_-31.725.met,-31.725,148.225,0.059243229,Soil_594.txt,-31.67099,148.33067
148.225_-32.225.met,-32.225,148.225,0.113253229,Soil_594.txt,-31.67099,148.33067
147.225_-30.725.met,-30.725,147.225,0.622050052,Soil_595.txt,-30.87761,148.1532
147.725_-30.725.met,-30.725,147.725,0.193850052,Soil_595.txt,-30.87761,148.1532
147.725_-31.225.met,-31.225,147.725,0.041240052,Soil_595.txt,-30.87761,148.1532
147.225_-32.225.met,-32.225,147.225,0.061702835,Soil_598.txt,-32.05801,147.70912
146.725_-31.225.met,-31.225,146.725,0.377521373,Soil_599.txt,-31.57494,146.84236
146.725_-31.725.met,-31.725,146.725,0.027581373,Soil_599.txt,-31.57494,146.84236
149.225_-28.225.met,-28.225,149.225,0.094216,Soil_60.txt,-27.705,149.621
147.725_-33.725.met,-33.725,147.725,0.006980086,Soil_602.txt,-33.53190296,147.913827
146.725_-33.225.met,-33.225,146.725,0.00445194,Soil_604.txt,-32.95053299,146.912925
147.725_-33.225.met,-33.225,147.725,0.00786832,Soil_605.txt,-33.05047503,148.021603
145.725_-33.225.met,-33.225,145.725,0.218284392,Soil_607.txt,-33.341201,146.26514
146.225_-33.725.met,-33.725,146.225,0.061943392,Soil_607.txt,-33.341201,146.26514
147.225_-33.225.met,-33.225,147.225,0.109355518,Soil_609.txt,-33.10004996,147.168866
150.225_-28.725.met,-28.725,150.225,0.037,Soil_61.txt,-28.337,150.341
145.725_-33.725.met,-33.725,145.725,0.044462749,Soil_610.txt,-33.58841702,146.152762
146.225_-34.225.met,-34.225,146.225,0.032654729,Soil_611.txt,-33.795244,146.456493
148.225_-34.225.met,-34.225,148.225,0.005441,Soil_614.txt,-33.995,148.404
147.725_-35.225.met,-35.225,147.725,0.10804,Soil_618.txt,-34.653,147.909
148.725_-34.225.met,-34.225,148.725,0.254649265,Soil_620.txt,-34.39175,148.69045
148.225_-35.225.met,-35.225,148.225,0.149018,Soil_621.txt,-34.598,148.558
148.225_-34.725.met,-34.725,148.225,0.017225,Soil_622.txt,-34.551,148.368
147.725_-34.725.met,-34.725,147.725,0.00923162,Soil_625.txt,-34.44189501,148.065198
142.725_-34.725.met,-34.725,142.725,0.000145,Soil_636.txt,-34.463,142.976
142.225_-34.725.met,-34.725,142.225,0.045785,Soil_639.txt,-34.288,142.371
141.725_-34.225.met,-34.225,141.725,0.25416,Soil_640.txt,-34.287,142.371
142.225_-34.225.met,-34.225,142.225,0.10816,Soil_640.txt,-34.287,142.371
146.725_-30.725.met,-30.725,146.725,0.428328,Soil_642.txt,-29.917,146.633
